,content
275,请选择下面你感兴趣的问题进行讨论   1、消化系统是如何对食物进行消化的？2、为什么老人摔跤后容易出现股骨骨折且不易恢复？3、如何辨别各个部位的椎骨？4、慢性鼻窦炎是哪个部位的疾病，试从解剖的角度讨论下此病出现相应临床表现的原因。
276,降气 老师：肝气不降怎么选穴呢？心气不将怎么选穴呢？五脏与六腑将气选穴不同吧？
277,蛋白质的三级结构   请问老师，说三级结构是亚基的空间结构这种说法对不对
278,胸腔积液是怎样形成的
279,就经络历史谈经络的作用    通过听老师讲课以及阅读大量书籍知道，祖国医学最早的典籍《黄帝内经》就有大量篇幅专门讲经络，几千年来古人是怎样发现经络呢？上古时期，古人在生活中，身体某部位被石块等东西刺破或被火烧灼，而身体其他部位所患的病痛随之减轻或消除，比如不小心把食指尖（商阳穴）划伤了然后发现疼了很久的嗓子其名其妙地妇了……古人经过长期体检逐步发现摸索出针灸治疗中穴位之间贯穿着条传导路线，这条路线就是我们说的经络。经络的作用概括起来有三点。第一，联系脏腑，沟通内外。第二，运行气血，营养全身。第三，抗御病邪，保卫机体。
280,属络 老师，你好！手太阴肺经属肺络大肠是和肺大肠都相连吗？手阳明大肠经属大肠络肺是和大肠、肺都相连吗？
281,病案分析   患者，女，34岁，因发热伴咽痛，寒战3天来院就诊，体温38.4°C，急性病容，双侧扁桃体二度肿大，表面可见有脓苔覆盖，其他查体及胸片未见明显异常，诊断为急性扁桃体炎。 请分析: 应首选何药治疗？为什么？
282,为什么肝病病人的调养中，静养比剧烈运动更重要？    请用五脏“肝”的理论，讨论为什么肝病病人的调养中，静养比剧烈运动更重要？（请点击“回复”，回答本题可以获得讨论分。注意：点击“向老师提问”是没有讨论分的哟）
283,患者入院时的心理体验是什么？
284,如何控制高脂血症预防脑卒中？银杏树叶晒干直接泡茶喝可以吗?
285,问题 为什么混合型高脂血症不能用烟酸？书上说烟酸适用的啊
286,当体温升高时，体内的（）活性增强，有利于炎症的修复  这题答案为什么不是吞噬细胞？
287,想问下胰岛素依赖方式是怎么样的机制啊？
288,静脉输液可以使用的部位有哪些？应根据什么选择输液穿刺静脉？
289,第三题    1.片剂片剂多为白色，若颜色变深，表面出现花斑疏松、膨胀、受潮、粘连、发霉或结晶等现象出现时，说明该药品已经变质。 2．注射剂 注射剂的质地都是澄清的，如发现内有白点、沉淀物、浑浊、纤维、絮状物、杂质等，均不能使用。 3．其他剂型眼药水类，如有结晶析出，或有霉点、絮状物出现，浑浊及变色均不可使用；粉针剂，当粉末受潮后结成块或粘瓶壁时，不可再使用；酊剂，出现发霉、沉淀或异味时不可使用。丸剂，如出现发霉、水丸松解或潮解、蜜丸变硬、变干、虫咬或出现异味等，均不能使用
290,针灸治病   挺喜欢给父母用刮痧的方法 来治疗疼痛的
291,请问，骺软骨在何时形成骺线，人不在长高的时候？骺线的形态？
292,术后(室间隔修补，右流出道疏通)显示完全性右术支传导阻滞，这是伤害了隔缘肉柱吗？严重吗？谢谢老师
293,神经的7种性质分别是什么意思？    一般躯体运动性，一般躯体感觉性等等，7种性质，分别是什么意思？
294,濡养滋润   血的濡养滋润和津液的濡养滋润有啥区别？
295,第二周（解表药）   请问在教学视频中讲到，麻黄的发汗作用具有相对性，又说麻黄在解表药中排名第一。是自相矛盾吗？求解，谢谢
296,胸肋 如果右胸第七肋骨骨折，大概是什么原因导致的？
297,上臂中段骨折，为何会在手部出现垂腕征和虎口区皮肤麻木的表现？
298,雌孕激素的生理功能  雌激素分为雌酮，雌二醇，雌三醇。雌激素主要由卵巢分泌，生理作用主要是维持女性生殖功能及第二特征。绝经期以后，雌激素水平会逐渐下降。女性体内的孕激素由卵巢，胎盘和肾上腺皮质产生。通常在雌激素的作用基础上发挥作用，主要是使子宫内膜转化为分泌期，使子宫内膜周期性脱落形成月经。在妊娠时利于胚胎着床，并防止子宫收缩，使子宫在分娩前处于静止状态。同时孕酮还能促进乳腺腺泡发育，为泌乳做准备。
299,三羧酸循环  三羧酸循环的各种中间产物本身无量的变化。
300,家庭备药的主要种类  解热镇痛药：如阿司匹林、去痛片、消炎痛等。 治感冒类药：如扑感敏、新康泰克、速效伤风胶囊、强力银翘片、白加黑感冒片、小儿感冒灵等。 止咳化痰药：如必嗽平、咳必清、蛇胆川贝液、复方甘草片等。 抗菌药物：如氟哌酸、吡哌酸、环丙沙星、复方新诺明、乙酞螺旋霉素。 胃肠解痉药：如普鲁本辛、654-2等。 助消化药：如吗丁啉、多酶片、山楂丸等。 通便药：如果导、大黄苏打片、甘油栓、开塞露等。 止泻药：如易蒙停、止泻宁、思密达等。 抗过敏药：如塞庚啶、扑尔敏、苯海拉明等。
301,人体直立   人由四足爬行走变为两足直立行走，请问维持人体直立的肌肉主要有哪些？
302,怎么区分髂前上棘和髂后上棘
303,人医里是不是很少用连续伦伯特和库兴式缝合？  人医里是不是很少用连续伦伯特和库兴式缝合？一般只看到康奈尔缝合
304,股动脉穿刺部位    在股三角内行股动脉穿刺，应接近腹股沟韧带作动脉穿刺，还是应接近股三角下端、近收肌管处穿刺？为什么？请列举你的理由。
305,为什么随着年龄的增大，身体对外界的反应越明显
306,结合脏腑理论，举例说说气血津液理论如何运用到调养和治疗中   可以从气血津液各自的功能入手，去举例。也可以从气血津液的相互关系入手，去说说气血津液理论在治疗和调养中的运用（请点击“回复”，回答本题可以获得讨论分。注意：点击“向老师提问”是没有讨论分的哟）。
307,请帮我看一下这道题，谢谢！  56．在其他因素不变的情况下改变底物浓度时：A．酶促反应初速度成比例改变           B．酶促反应初速度成比例下降C．酶促反应速度成比例下降             D．酶促反应速度变慢E．酶促反应速度不变
308,为什么弱碱药物解离要和质子结合
309,淘米水、面粉碱性来洗水果中和农药的说法是错误的    淘米水和面粉洗水果蔬菜之所以能清楚农药，是因为淘米水和面粉里面的粉微粒的较强的吸附性，可以吸附残留的农药，这是利用淘米水和面粉的物理性质。并不是酸碱中和，老师不要误导学生哟
310,阿托品应用会引起缺氧吗？   阿托品应用会引起缺氧吗老师？机制又是什么
311,脱氢 三羧酸循环一共有四次脱氢，
312,请教老师在讲课中提到“六脏”？    老师好，通常我知道：“五脏六腑”，现在老师讲课中提到六脏，六腑，请老师详细告知一下是哪六脏吗？
313,针灸麻醉有时效限制吗？
314,请教老师一个问题   《医学生理学》第3版(主编 管又飞 刘传勇）上说：“有人认为，破伤风毒素，狂犬病病毒由外周向中枢神经系统转运的机制，可能就是逆向轴浆流动。”这两种物质可在一个神经元内运输，那这两种物质是如何从一个神经元到另外一个神经元的呢?
315,睡时出汗为盗汗，是阴虚，是哪里的阴虚呢？   请问，睡时出汗，醒了就没汗了，为盗汗，是阴虚。那是哪里的阴虚呢？肺阴虚。肝阴虚，还是肾阴虚呢？如何治疗呀？
316,成人没有骺软骨，为什么是错的
317,模体 模体是超二级结构的另一种叫法，还是属于超二级结构的一种？
318,老师，子宫的病变和哪一个脏器关系最大呢？
319,优势半球  人大脑的两个半球形态结构是类似的，但处理信息的模式不同。所以，功能虽然基本相同，但各有优势方面。以语言为例，大多数人的语言功能更多地依赖左侧半球，称为语言优势半球，也称优势半球。你了解两个大脑半球功能上有哪些更多的区别吗？
320,局部电位   局部电位有什么用途？它的生理意义是什么？
321,为什么毛果芸香碱高浓度可以使青光眼加重？   是因为瞳孔括约肌收缩使房水循环受阻吗
322,鼻旁窦炎   鼻旁窦炎，也称鼻窦炎，是鼻旁窦粘膜的炎症，包括急性和慢性鼻旁窦炎。
323,通风可以治愈吗？或者通过哪些饮食、生活方式和运动有改善吗？会
324,竞争性拮抗药 老师您好，想问一下，当竞争性拮抗药与激动药并用时，亲和力降低，内在活性不变对吗？
325,长脉和短脉  老师：寸关尺盖有多长？一寸？超出一寸就是长脉了吧？
326,牙痛 普通牙疼和冠心病引起的牙痛有什么不同？
327,尸厥 您说，虢国太子耳中有咚咚声，鼻翼煽动，股沟尙热。那么，是他肾气未绝，肺气未绝么？股沟热指什么？
328,正中矢状面  将人体从前后 分为左右两个面不对吗？
329,讨论题    1.试述你对“全民健康、健康中国”是如何理解的？2.你觉得未来的中医护理，有哪些特色和优势？
330,避免：1、明确用药指征，避免不合理用药严格掌握NSAIDs的适应证和禁忌证，按照个体化原则，合理选择药物。  避免不必要的长期大剂量用药，避免重复用药（尤其注意一些复方制剂）。 NSAIDs毒副作用与疗程和剂量相关，因此，在保证疗效的前提下，应使用  最小剂量及最短疗程。2、进一步完善合理用药政策 。加强合理用药的监管是卫生部、国家食品药品监督管理局等政府部门的基本职责，其可规范医疗机构和医务人员临床用药行为，使合理用药有章可循。3、合理用药的全程控制。加强对公众的合理用药宣传教育通过多种形式的宣传教育活动对公众进行基本用药知识的普及，可以有效预防不合理用药的发生。
331,第二周    麻黄的用法用量指出，“煎服，2-10g麻黄生用发汗解表，炙用止咳平喘”是什么意思？
332,气逆咳嗽   请问老师是不是所有的咳嗽都是气逆引起的呢？我记得好像有肺热咳嗽，那么肺热是肺不能宣发，也就是升不及，这个不是气陷吗？还是说气陷只能发生在脾和肾。
333,心肺复苏病人怎末放  老师，你好，想问一下做心肺复苏时患者最佳的身体位置怎末放，就是正常的平放吗？
334,中药学    为什么要结合气味来理解药物的功效？
335,院感 有哪些不是医院感染
336,如何从对比手足心与手足背的温度判断外感还是内伤？   如何从对比手足心与手足背的温度判断外感还是内伤？（请点击“回复”，回答本题可以获得讨论分。注意：点击“向老师提问”是没有讨论分的哟）
337,经期性生活会导致怀孕么
338,安全期+避孕套两种避孕方式一起效果会不会大大提高?
339,为什么上颌窦炎发病率较高？
340,老师，您好。除颤仪用好后，继续进行心肺复苏吗？    老师，您好。除颤仪用好后，继续进行心肺复苏吗？
341,第二题为什么看不出来上下啊  老师，您好，请问一下第二题的CT为什么看不出来上下啊，这里可以看到心脏的左右位置，这样的话上面看心尖向左，下面看心尖向右
342,腹膜腔    打开腹膜腔可以看到哪些器官？哪些可以移动？哪些不能移动？为什么有这些区别？以下切口所要经过的层次。
343,健康宝贝计划：照射X光、吃药、饮酒后怀孕的孩子能不能要？   照射X光、吃药、饮酒后怀孕的孩子能不能要？
344,眼睛白眼球出现血块，怎么判断，要考虑肝经吗？
345,辨证论治属于病证结合吗
346,关于胸部按压深度5-6CM，按压次数100-120/分钟的问题？   Hi 老师，
347,讨论题    除视频中所述的6种方法外，有无其它中医护理技术可以用于痛痹中？如穴位按摩、穴位注射、药物敷贴、耳穴埋籽等？如可，该如何运用？
348,湿度 对于气管切开手术的病人，病房湿度一般要在哪个范围内最好
349,请老师解答，谢谢！  35．关于温度与酶促反应速度关系的叙述错误的是：A．酶在短时间可耐受较高温度         B．酶都有最适温度C．超过最适温度酶促反应速度降低     D．最适温度时反应速度最快E．以上都不是
350,关于痛风的几个问题  1，痛风是否可以根治2，如果可以，请问目前最好的方法是什么
351,中国人的期望值寿命达到76.34岁，为什么答案正确是2015年选项？ 老师：2016年7月24日我们国务院新闻办公布了《国家人权行动计划》的实施评估报告：我们中国人的期望值寿命已经达到了76.34岁，为什么答案正确是2015年选项？
352,中医内科-肺病-1 咳嗽 2 哮病（哮喘） 3 喘病（呼吸困难）   1 咳嗽2 哮病（哮喘） 3 喘病（呼吸困难）
353,阴阳五行互相联系，相互影响，从何入手进行治疗 阴阳五行互相联系，相互影响，那么一些复杂的症状，如何找到问题根源，如何判断从何处下手进行治疗？
354,外用消炎消毒药：酒精、碘酒、紫药水、红药水、高锰酸钾等。 外用止痛药：如风湿膏、红花油等。
355,维生素与抗氧化    请分析脂溶性和水溶性维生素中，哪些维生素具有抗氧化的作用，机制是什么？
356,如何判断阳虚或者阴盛呢？   如果是怕冷的体制，请教老师如何判断阳虚或者阴盛呢？谢谢
357,下列对神门穴的描述不正确的是？回答A是错误的。    A八会穴 B治心悸失眠 C在腕横纹上 D原穴
358,对密切观察血压的患者，测量血压时应注意什么？为什么？
359,压疮护理的误区与进展
360,对急性左心衰患者的处理有包括哪些?
361,第三题    外科颈难道是位于内侧吗？要不然为什么第三题判断是错的呢？
362,脑干损伤       脑干损伤是一种严重的，甚至是致命的损伤。重症脑干损伤疗效甚差，其死亡率几乎占颅脑损伤死亡率的三分之一。依据所学解剖知识，为什么脑干损伤往往是致命的？煤气中毒后的植物人是脑干损伤吗？请列举一些脑干损伤的原因。
363,单元测试的题目疑问  琥珀粉为什么可以烊化服用？
364,干眼症    老师：干眼症在家里自己针灸不了时，按揉还不是也行？左眼干针灸时选择右边的睛明穴，风池穴么？
365,消毒灭菌方法 根据前面学习的理论和方法，分别讨论医院环境、医院被服类、患者皮肤和黏膜、医院污水污物的处理方法。
366,关于前臂肌  老师，您好，请问前臂肌前群课件中只看到9块肌肉，但您说有10块，请问还有一块是什么肌肉呢？
367,老师，梅核气应该怎么治疗呢？
368,少阳头痛   老师您好！请问偏头痛所属少阳脉，取穴足临泣，经络所过主治所及，取本侧还是对侧的足临泣效果好呢？谢谢
369,动脉压升高，后负荷升高为什么是等容收缩期   动脉压升高，后负荷升高为什么是等容收缩期
370,阴阳 什么是阴病治阳，阳病治阴
371,老师您好！请问左右经脉腧穴，为何选单侧或者双侧?依据是……?
372,面瘫需要多长时间才能改善流口水
373,蛋白质结构域，是不是属于蛋白质二级结构和三级结构的中间结构？
374,我想问一下，肩周炎针灸那几个穴位效果好，针灸几次就有效果了
375,体表的第二肋连接处不明显   胸骨角外侧与第二肋连接处，怎么摸才能更清晰的感觉到，摸自己的不明显
376,便秘 这里只讲了大便干结怎么处理，没有讲后面几种情况的，是所有便秘处理都一样？还是？
377,局部电位与动作电位  局部电位与动作电位的区别是什么？
378,自发性气胸的类型   根据脏层胸膜破裂口的情况和气胸发生后对胸膜腔内压力的影响，可分为那三种类型？
379,胸胁 请问老师，左右两边肋下都属于胸胁的范围吗
380,诱发肝性脑病 肝硬化的患者在哪些情况下易发生肝性脑病
381,左手打结   老师你好，左手打结持线方式是和右手打结持线方式相同操作步骤相反（右手持线在上）还是持线方式相反操作步骤相同
382,第一题    消毒药水、生理盐水、含抗生素成分的消炎药膏、感冒用药、单方药物、复方药物、感冒糖浆、肠胃用药、皮肤用药等等
383,老师，第一题，它使用了抗生素，不应该是细菌种类吗？
384,冲服是什么意思?哪些中药可以冲服?
385,怎么基于阴阳学说确认病和证？ 今天又看了一遍视频，还是有些不明白
386,其他肺炎   后面几个其他肺炎（衣原体、病毒性、真菌性）不是特别重要吗？
387,青霉素的治疗指数TI大，临床上应用该药物时是否绝对安全？   青霉素的治疗指数TI大，临床上应用该药物时是否绝对安全？
388,椎间盘    老师，腰间盘突出时，髓核为什么是向后突出的？
389,砭石 老师：砭石和刮痧板一样吗？意思相同吗？
390,吗啡可以导致胆绞痛，为什么阿托品治疗胆绞痛时还要合用它呢？
391,中医护理的特点    整体观念 ，辩证施护，这个答案为什么错啊？
392,养生 得了病去找医生、不得病应找养生（本人），由此比医院更好的就是养生院。
393,老师您好！请问左右经脉腧穴，为何选单侧或者双侧?依据是……?
394,无保护性生活是什么意思？
395,体液调节与  心交感神经兴奋时冠状动脉扩张为什么是体液调节
396,长期有痰   本人男，22岁，平时不抽烟不喝酒，近年来长期嗓内有清痰，体检诊断肺部存在感染，经学习发现，皮肤毛糙，有黑头，也可能于此有关系，这种情况属于咋回事，须如何治疗
397,脉象的迟、紧以及数是什么意思？    老师，请问脉象迟、紧以及数分别是什么意思呢？
398,ST向量由正常心肌指向损伤心肌，那上面一句话的前半句说明是心内膜下心肌损伤，但是T波倒置说明是心外膜下心肌损伤。这样不是就矛盾了吗
399,请选择下面你感兴趣的问题进行讨论   1、根据所学的解剖学知识，试回答：（1）作气管切开时，应选择什么姿势和部位？为什么？（2）从皮肤到达气管，需经过哪些层次? 2、根据甲状腺的毗邻关系，试分析甲状腺肿大时可能引起的症状?3、 某患者需做甲状腺大部分切除手术，根据你已学过的解剖学知识，试回答：（1）从皮肤到达甲状腺组织，要经过哪些层次？（2）结扎甲状腺动脉时应注意什么？应防止损伤什么结构？如何预防，若导致损伤，可出现什么后果？4、“危险三角”在哪个位置？其解剖学基础是什么？5、面瘫的病因是面神经损伤，试用本章知识解释本病可能的症状。6、“大舌头”真的舌头比普通人大吗？其解剖学基础是什么？
400,胃气 我自己由红舌（没有苔）到有了白苔，就是有胃气了对么？而且，我应该是气分病了。气分病了治谁？是不是治肺？
401,特定穴    胃痛可以选哪些特定穴？1·五腧穴：厉兑，內庭，陷谷，解溪，足三里2·原穴：冲阳3·络穴：丰隆4·郗穴：梁丘5·背俞穴：胃俞6募穴和八会穴：中院7·八脉交会穴：公孙，内关8·下合穴：足三里是可以取这些穴位吗？谢谢老师解答，谢谢！
402,高血压    根据影响动脉血压的因素，分析爱吃大鱼大肉与高血压的关系
403,选择性cox-2抑制药    为什么它的不良反应是凝血障碍，而不是引发血栓呢？
404,递质 外周胆碱能神经合成与释放的递质是琥珀胆碱？为什么？
405,胃肠病    老师，您好，我这最开始一直是肚子不消化，而且没有大便意思，但是左下腹一直憋的难受，去医院看，让做了一个胃镜，检查的结果是浅表性胃炎伴胆汁反流性胃炎。然后开了西药加中成药，吃了一个多月，时好时坏。最后改看中医，中药吃了两个多月，吃饭可以了，排便也顺畅了，就是一吃油腻的或者凉的过上半小时就腹泻。因为可以吃饭了，也没太在意，就是不吃太油腻和凉的东西。然后就到深圳找了一份工作去上班了。因为经常去其他地方出差，所以吃饭都是在外面的餐馆或者项目所在工厂吃饭，然后出现一个情况就是中午一吃米饭，过上一个小时然后就腹泻拉肚子。开始也没太在意，因为也不用吃药，只要不吃米饭，改吃面食，再喝点酸奶就好了，有时候也吃药(诺佛沙星，复方黄连素)。(在南方总是会吃到米饭)后面这种情况反复出现，持续了一年多，然后就是只要腹泻还会伴随着腰痛腰胀膝盖酸。过年回家，也是怕冷，肚子凉，一凉也腹泻，穿衣服比别人多，但还是稍不注意(比如上个厕所)，也会着凉腹泻。没办法再次去看中医，吃中药两个多月。现在不腹泻了，但是还是不想吃饭，左下侧腹部憋的难受，但却没有大便的意思，腰还是有点轻微胀痛，膝盖也会酸。老师，我该怎么办？！
406,峰电位期间的钠通道  峰电位期间钠通道就完全失活吗？那动作电位的上升支还怎么产生？
407,眼睛 您说，眼睛有病是胆经。那肝经不是和眼睛有关么？比如，左眼睛干涩，怎么治？治肝还是治胆？
408,无规卷曲和Ω环    请问下老师这两个有什么区别呀，我看课本上没有无规卷曲，谢谢老师
409,关于中药煎煮 前两周正好上了中药煎煮的实验课，使我对中药煎煮的理论知识记忆更深刻了。我获得的最大的体会是中药的煎煮没有我曾经想象的那么简单。因为小时候体质不好，容易生病，奶奶总是会为我煎中药吃，我曾经一度以为煎煮中药和煎煮其他食物应该类似，没有太大区别，直到学习了有关煎煮中药的课程并且自己也有了实践，才了解煎煮中药有很多讲究，只有细致正确的完成每一步，才能让中药的药性、药效得到最好的发挥。
410,痛风 长期憋尿是否会导致痛风
411,有关口味的问题？   有人有时突然想吃甜的或者想吃咸的、辣的等等，这是反映人体需要这种味道还是病变呢？譬如，喜欢吃甜的，但是又脾虚，那摄入甜的是补脾还是在伤害脾脏呢？
412,请问乳房部分的刮痧是以乳头为中心向四周还是四周向乳房刮呢？
413,求教一个问题 请问老师尿胆素原和尿胆原有区别吗？
414,药理 药理推到有些难度
415,老师好，请问老师：  艾灸现在很盛行，现在用艾灸架做艾灸，代替手悬灸，使用艾灸架子做艾灸的效果，和手持悬灸的作用有区别么？
416,汤者荡也，作用会起效快，而且可以随病情变化而灵活用药。但是药方需要医生开出，且煎药不方便，，因此不适宜慢性病长期用药。
417,嗅气味诊病的规律是什么？   嗅气味诊病的规律是什么？（请点击“回复”，回答本题可以获得讨论分。注意：点击“向老师提问”是没有讨论分的哟）
418,保护具的不当应用可给患者带来哪些伤害？
419,课堂讨论——案例（一）            患者，男，32岁，发热伴咳嗽、咳痰3天。 3天前患者因淋雨受凉后感全身不适与咽痛，继而出现畏寒、寒战，约半小时后觉发热、头痛，自测体温39.6℃，伴有咳嗽和右侧胸部疼痛，胸痛以咳嗽及深呼吸时加重。自服“去痛片”后出汗，体温无明显下降。1天前再次出现寒战，体温高达40.4℃，咳嗽和胸痛加剧，并咳出少量铁锈色痰，遂来我院就诊。患者自发病以来，食欲下降，睡眠差，大小便无明显异常，近期体重无明显变化。既往体健，否认肝炎、结核等传染病史及密切接触史，否认药物食物过敏史，无特殊毒物接触史。体格检查：T 38.8℃ P 103次/分 R 30次/分 Bp 100/66mmHg，青年男性，神志清，精神差，急性病容，发育正常，营养中等，自主体位，查体合作。全身皮肤黏膜无黄染、皮疹及出血点，无肝掌、蜘蛛痣，颈部、腋窝、腹股沟等浅表淋巴结未触及肿大，咽部无充血，扁桃体无肿大。胸廓对称，右侧触觉语颤增强，右下肺叩浊音，右背部肩胛下角以下及腋下可闻支气管呼吸音和少许吸气相细湿音，左肺呼吸音粗，未闻及明显干湿啰音。心率103次/分，律规整，各瓣膜区未闻及病理性杂音。腹部平软，无明显压痛、反跳痛，肝脾肋下未及，肠鸣音正常。双下肢无水肿，双侧巴氏征、脑膜刺激征阴性。辅助检查：血常规WBC16.7×109／L，N%：83%，血红蛋白:140 g/L， 血小板计数:375×109/L。胸部X线片：右肺中下野见片状密度增高影、边缘模糊。诊断： 右肺感染。胸部CT：右下肺可见大片状实变影，其内可见支气管气影。印象：右下肺肺炎。【思考题】根据以上资料，该患者的诊断及诊断依据是什么？
420,选第三题   1.片剂片剂多为白色，若颜色变深，表面出现花斑疏松、膨胀、受潮、粘连、发霉或结晶等现象出现时，说明该药品已经变质。2．注射剂 注射剂的质地都是澄清的，如发现内有白点、沉淀物、浑浊、纤维、絮状物、杂质等，均不能使用。3．其他剂型眼药水类，如有结晶析出，或有霉点、絮状物出现，浑浊及变色均不可使用
421,腔隙性脑梗怎么用针灸治疗   60岁老人，每天头痛昏睡，身体疲劳，不爱说话。在医院核磁检查为腔隙性脑梗，这个病症怎么用针灸治疗？
422,老师好，我想问一下经络是不对称的吗？
423,两个治疗原则的问题  老师如果肾水不足导致的心火旺，要用抑强扶弱的原则进行治疗，那可以用虚则补母的方式，补肺以滋肾水吗？
424,为什么腮腺肿瘤尤其是恶性肿瘤不及时治疗可导致面瘫？
425,常用的治疗便秘的药物有哪些？
426,脉诊 有俩女的怀孕，我看脉，她们的左右强度不一样，正相反，就说一男一女。结果都是女孩儿。
427,m受体，α受体对视力的影响  老师，请问:对于m受体上的瞳孔括约肌的缩瞳和扩瞳，都能影响视力，为什么α受体上的瞳孔开大肌激动，扩瞳对视力没有影响
428,心脏 第二心音反常分裂的特点为
429,案例分析：外伤致高位截瘫   23岁女性，2年前不幸从高处失足摔下，头先着地，造成第6和7颈椎粉碎性骨折，85%错位。四肢和胸以下躯体功能障碍。诊断：高位截瘫。问题：⑴ 外伤导致高位截瘫时机体的肌张力、感觉和排尿活动有何变化？请简要解释机制。⑵ 你预计该患者目前机体的肌张力、感觉和排尿活动有何变化？请简要解释机制。
430,第一题    消毒水、生理盐水、含抗生素成分的消炎药膏、感冒用药、复方药物、单方药物、感冒糖浆、肠胃用药、皮肤用药……
431,颅底内面观和外面观怎么看呀
432,阴跷脉，阳跷脉……  老师：阴跷脉，阳跷脉……和十二经很近，扎针灸的时候会不会有串联感？
433,皮部 老师：十二皮部在刮痧书上有。刮痧的时候，要不要按表里经络那样刮痧？
434,腕关节    老师我觉得腕关节是由桡骨远端和腕骨组成，由于尺骨远端与腕骨之间组成了一个滑膜关节，故腕关节不包括尺骨远端。
435,为什么低色素小细胞性贫血的mchc会降低   能从公式本身hb，和hct来分析吗
436,申请账号   老师，我想要申请一个账号，谢谢老师。
437,如何预防和处理糖尿病病人低血糖的发生？
438,为什么弱碱性药物不电离出氢氧根离子而是与质子结合
439,请比较生物氧化与生物转化
440,三次检查阴性还要用药？
441,风心病，手脚无力    老师，得了风心病，有时候会手脚无力，眼睛也睁不开，该怎么处理呀？平时有没有什么要注意的？
442,性传播疾病有哪些？应该怎么预防？   1.性传播疾病（STD）是什么？有哪些？2.如何预防STD？
443,手汗症可以切断交感神经治疗，为什么脚多汗和阴囊多汗不可以？  是因为如果手术，相应神经不好分辨吗？
444,呼吸链抑制剂PPT图片疑问  在讲呼吸链抑制剂的那一页，复合体Ⅱ、Ⅲ是不是标错了呀，萎锈灵抑制处应为复合体Ⅱ，抗霉素A处为复合体Ⅲ，最后为复合体Ⅳ。
445,孩子吃了凉的食物后发烧    2岁9个月的孩子晚上9点吃了两块奶酪，然后又吃了一个雀巢糯米糍（冰糕那种），晚上睡觉的时候就不安稳，易醒，有发烧的症状，但没有说肚子痛和腹泻的情况。请问老师，这是因为积食引起的发烧吗? 是否按照治积食的方式来治疗?
446,左右 您说，知为针者信其左，不知为针者信其右。是左升右降的意思么？左升右降是左边向上扎，右边向下扎么？
447,DNA模型中大沟和小沟怎么区别    可以找到的图片都是类似这种平面视图。因为核酸链反向而不对称而出现的大沟和小沟，感觉并不好区分啊。想问问老师，上图如果没有标出大沟和小沟，应该如何判断大沟和小沟所在位置呢？
448,股骨头横韧带在关节腔内吗
449,紧急避孕药的副作用  左烃诺孕酮肠溶胶囊服用后恶心，乏力，是否正常，而且查阅资料，对其的认识严重两级分化，有的人说对女性的身体伤害很大，而且与宫外孕的案例有很多的关联，我在论坛看到很多控诉的文章，有些外文文献说会导致宫外孕几率成倍上升，但是也有很多人和专家，论文对紧急避孕药有相对乐观的评价，但是还是提及有副作用但是没有前者那么大，而且与宫外孕没有直接关系，希望老师能给解答一下
450,能一个人做人工呼吸，另一个人做按压胸腔吗？  能一个人做人工呼吸，另一个人做按压胸腔吗？  谢谢老师
451,第一章考题第一题目的答案是否不存在的？    问：不属于中医护理学的内容是：1、预防　2、治疗　3、保健　4、康复
452,老师您好   请问第1~7节肋软骨与胸骨之间均为滑膜关节 这句话对吗
453,虚实的区分  1.怎么判断是母虚，还是子实。2.怎么判断是用相生，还是用相克的方法治疗
454,结节 老师您好，身体中很多结节：在腹部中线这里，大腿外侧有一两个，还有大腿内测肝经这里都有结节。腹部和大腿外侧摸着是圆形的，大腿内侧是条索状。这些按着不痛，这些是气滞引起的还是血淤呢？我看舌下血管也没有怒张呀。单靠按柔可以慢慢化开吗？
455,长期有痰   本人长期嗓内有清痰，体检诊断肺部存在感染，经学习发现，皮肤毛糙，有黑头，也可能于此有关系，这种情况属于咋回事，须如何治疗
456,病例分析   患者，男，48岁。近一年来刷牙时牙龈易出血，皮肤破口后出血不易止血。近一个月来发现左上腹有一包块，无疼痛，但感腹胀，食欲不振。3天前食坚硬食物，出现黑便，并呕吐一次，呕吐物为胃内容物及咖啡样液体而就诊。体格检查：体温36.5°C，脉搏90次/分，血压120/75mmHg。贫血貌，神志清，扶入病房，体位自如。腹部膨隆，全腹无压痛，无反跳痛，无肌紧张，肝未触及，脾大肋下125px，质地中等，无触痛，移动性浊音阳性，肠鸣音无异常。有15年乙肝病史。问题：1)      根据患者的临床表现而诊断本病，诊断依据是什么？从解剖学角度给予合理解释。2)      本病最危险的并发症是什么？
457,我觉得是硝苯地平，但是选项中没有，但也应该可以选用普萘洛尔吧
458,脉搏 脉搏为体表可以触及的动脉搏动。在身体哪些部位可摸到哪些动脉搏动？如何定位？有何临床意义？
459,器官的长轴是怎么看的？    沿其长轴所做的切面称纵切面。请问长轴怎么描述？
460,大鱼际    从列缺出发到大鱼际的络脉的地方热到要皮焦了。怎么办？怎样把热去掉？
461,使用宫内节育器的不良反应   为什么会月经淋漓、月经量增多？我可以理解为放置第二代节育器，它的构造容易磨损子宫内膜导致出血吗？
462,我想问老师，痛经该怎么办呢？ 我吃过布洛芬但是效果不大？不知道是不是吃的时间点不对
463,为什么手卫生依从性低
464,请问咸味入肾，但是为什么心，肾有病忌咸味
465,二硫键是属于维持蛋白质哪级结构稳定的化学键？
